LA_parameter,EA_parameter
RBRCLA_CAL_018_001,IMPC_CAL_018_001
RBRCLA_CAL_036_001,IMPC_CAL_036_001
RBRCLA_CAL_023_001,IMPC_CAL_023_001
RBRCLA_CAL_001_001,IMPC_CAL_001_001
RBRCLA_CAL_039_001,IMPC_CAL_039_001
RBRCLA_CAL_032_001,IMPC_CAL_032_001
RBRCLA_CAL_010_003,IMPC_CAL_010_003
RBRCLA_CAL_027_001,IMPC_CAL_027_001
RBRCLA_CAL_026_001,IMPC_CAL_026_001
RBRCLA_CAL_035_001,IMPC_CAL_035_001
RBRCLA_CAL_008_001,IMPC_CAL_008_001
RBRCLA_CAL_034_001,IMPC_CAL_034_001
RBRCLA_CAL_022_001,IMPC_CAL_022_001
RBRCLA_CAL_020_003,IMPC_CAL_020_003
RBRCLA_CAL_007_001,IMPC_CAL_007_001
RBRCLA_CAL_031_001,IMPC_CAL_031_001
RBRCLA_CAL_041_001,IMPC_CAL_041_001
RBRCLA_CAL_038_001,IMPC_CAL_038_001
RBRCLA_CAL_009_001,IMPC_CAL_009_001
RBRCLA_CAL_030_001,IMPC_CAL_030_001
RBRCLA_CAL_037_001,IMPC_CAL_037_001
RBRCLA_CAL_012_001,IMPC_CAL_012_001
RBRCLA_CAL_014_001,IMPC_CAL_014_001
RBRCLA_CAL_015_001,IMPC_CAL_015_001
RBRCLA_HEM_010_001,IMPC_HEM_010_001
RBRCLA_HEM_019_001,IMPC_HEM_019_001
RBRCLA_HEM_018_001,IMPC_HEM_018_001
RBRCLA_HEM_002_001,IMPC_HEM_002_001
RBRCLA_HEM_028_001,IMPC_HEM_028_001
RBRCLA_HEM_034_001,IMPC_HEM_034_001
RBRCLA_HEM_040_001,IMPC_HEM_040_001
RBRCLA_HEM_043_001,IMPC_HEM_043_001
RBRCLA_HEM_039_001,IMPC_HEM_039_001
RBRCLA_HEM_007_001,IMPC_HEM_007_001
RBRCLA_HEM_021_001,IMPC_HEM_021_001
RBRCLA_HEM_029_001,IMPC_HEM_029_001
RBRCLA_HEM_020_001,IMPC_HEM_020_001
RBRCLA_HEM_014_001,IMPC_HEM_014_001
RBRCLA_HEM_011_001,IMPC_HEM_011_001
RBRCLA_HEM_006_001,IMPC_HEM_006_001
RBRCLA_HEM_015_001,IMPC_HEM_015_001
RBRCLA_HEM_033_001,IMPC_HEM_033_001
RBRCLA_HEM_005_001,IMPC_HEM_005_001
RBRCLA_HEM_013_001,IMPC_HEM_013_001
RBRCLA_HEM_001_001,IMPC_HEM_001_001
RBRCLA_HEM_037_001,IMPC_HEM_037_001
